Category,Month,"Sub Category",Type,Year,Doughnut,"Doughnut (copy)","Number of Records",Value,"Value (copy)"
"Total Long Term Assets",Feb,"Long Term Other Assets",Assets,2015,0,0,$1,$1.2M,"$1,242,622"
"Total Long Term Assets",Jan,Deposits,Assets,2015,0,0,$1,$0.3M,"$274,378"
"Total Long Term Assets",Jan,"Long Term Other Assets",Assets,2015,0,0,$1,$1.2M,"$1,242,622"
"Total Long Term Assets",Jul,Deposits,Assets,2015,0,0,$1,$0.3M,"$281,810"
"Total Long Term Assets",Jul,"Long Term Other Assets",Assets,2015,0,0,$1,$1.2M,"$1,242,622"
"Total Long Term Assets",Jun,Deposits,Assets,2015,0,0,$1,$0.3M,"$281,947"
"Total Long Term Assets",Jun,"Long Term Other Assets",Assets,2015,0,0,$1,$1.2M,"$1,242,622"
"Total Long Term Assets",Mar,Deposits,Assets,2015,0,0,$1,$0.3M,"$274,383"
"Total Long Term Assets",Mar,"Long Term Other Assets",Assets,2015,0,0,$1,$1.2M,"$1,242,622"
"Total Long Term Assets",May,Deposits,Assets,2015,0,0,$1,$0.3M,"$274,442"
"Total Long Term Assets",May,"Long Term Other Assets",Assets,2015,0,0,$1,$1.2M,"$1,242,622"
"Total Long Term Assets",Nov,Deposits,Assets,2015,0,0,$1,$0.3M,"$295,208"
"Total Long Term Assets",Nov,"Long Term Other Assets",Assets,2015,0,0,$1,$1.1M,"$1,093,648"
"Total Long Term Assets",Oct,Deposits,Assets,2015,0,0,$1,$0.3M,"$295,270"
"Total Long Term Assets",Oct,"Long Term Other Assets",Assets,2015,0,0,$1,$1.2M,"$1,242,622"
"Total Long Term Assets",Sep,Deposits,Assets,2015,0,0,$1,$0.3M,"$295,201"
"Total Long Term Assets",Sep,"Long Term Other Assets",Assets,2015,0,0,$1,$1.2M,"$1,242,622"
"Accumulated other comprehensive income",Apr,"Accumulated other comprehensive income",Equity,2015,0,0,$1,$0.0M,"-$46,525"
"Accumulated other comprehensive income",Aug,"Accumulated other comprehensive income",Equity,2015,0,0,$1,($0.2M),"-$186,993"
"Accumulated other comprehensive income",Dec,"Accumulated other comprehensive income",Equity,2015,0,0,$1,($0.3M),"-$252,869"
"Accumulated other comprehensive income",Feb,"Accumulated other comprehensive income",Equity,2015,0,0,$1,($0.1M),"-$77,520"
"Accumulated other comprehensive income",Jan,"Accumulated other comprehensive income",Equity,2015,0,0,$1,($0.1M),"-$90,564"
"Accumulated other comprehensive income",Jul,"Accumulated other comprehensive income",Equity,2015,0,0,$1,($0.1M),"-$146,052"
"Accumulated other comprehensive income",Jun,"Accumulated other comprehensive income",Equity,2015,0,0,$1,($0.1M),"-$109,913"
"Accumulated other comprehensive income",Mar,"Accumulated other comprehensive income",Equity,2015,0,0,$1,($0.1M),"-$108,747"
"Accumulated other comprehensive income",May,"Accumulated other comprehensive income",Equity,2015,0,0,$1,($0.1M),"-$88,702"
"Accumulated other comprehensive income",Nov,"Accumulated other comprehensive income",Equity,2015,0,0,$1,($0.3M),"-$250,338"
"Accumulated other comprehensive income",Oct,"Accumulated other comprehensive income",Equity,2015,0,0,$1,($0.2M),"-$183,947"
"Accumulated other comprehensive income",Sep,"Accumulated other comprehensive income",Equity,2015,0,0,$1,($0.2M),"-$218,311"
"Additional Paid in Capital",Apr,"Additional Paid in Capital",Equity,2015,0,0,$1,$1.1M,"$1,124,209"
"Additional Paid in Capital",Aug,"Additional Paid in Capital",Equity,2015,0,0,$1,$1.1M,"$1,124,209"
"Additional Paid in Capital",Dec,"Additional Paid in Capital",Equity,2015,0,0,$1,$1.1M,"$1,099,209"
"Additional Paid in Capital",Feb,"Additional Paid in Capital",Equity,2015,0,0,$1,$1.1M,"$1,124,209"
"Additional Paid in Capital",Jan,"Additional Paid in Capital",Equity,2015,0,0,$1,$1.1M,"$1,124,209"
"Additional Paid in Capital",Jul,"Additional Paid in Capital",Equity,2015,0,0,$1,$1.1M,"$1,124,209"
"Additional Paid in Capital",Jun,"Additional Paid in Capital",Equity,2015,0,0,$1,$1.1M,"$1,124,209"
"Additional Paid in Capital",Mar,"Additional Paid in Capital",Equity,2015,0,0,$1,$1.1M,"$1,124,209"
"Additional Paid in Capital",May,"Additional Paid in Capital",Equity,2015,0,0,$1,$1.1M,"$1,124,209"
"Additional Paid in Capital",Nov,"Additional Paid in Capital",Equity,2015,0,0,$1,$1.1M,"$1,124,209"
"Additional Paid in Capital",Oct,"Additional Paid in Capital",Equity,2015,0,0,$1,$1.1M,"$1,124,209"
"Additional Paid in Capital",Sep,"Additional Paid in Capital",Equity,2015,0,0,$1,$1.1M,"$1,124,209"
"Common Stock",Apr,"Common Stock",Equity,2015,0,0,$1,$0.0M,"$8,791"
"Common Stock",Aug,"Common Stock",Equity,2015,0,0,$1,$0.0M,"$8,791"
"Common Stock",Dec,"Common Stock",Equity,2015,0,0,$1,$0.0M,"$8,791"
"Common Stock",Feb,"Common Stock",Equity,2015,0,0,$1,$0.0M,"$8,791"
"Common Stock",Jan,"Common Stock",Equity,2015,0,0,$1,$0.0M,"$8,791"
"Common Stock",Jul,"Common Stock",Equity,2015,0,0,$1,$0.0M,"$8,791"
"Common Stock",Jun,"Common Stock",Equity,2015,0,0,$1,$0.0M,"$8,791"
"Common Stock",Mar,"Common Stock",Equity,2015,0,0,$1,$0.0M,"$8,791"
"Common Stock",May,"Common Stock",Equity,2015,0,0,$1,$0.0M,"$8,791"
"Common Stock",Nov,"Common Stock",Equity,2015,0,0,$1,$0.0M,"$8,791"
"Common Stock",Oct,"Common Stock",Equity,2015,0,0,$1,$0.0M,"$8,791"
"Common Stock",Sep,"Common Stock",Equity,2015,0,0,$1,$0.0M,"$8,791"
"Income Summary",Apr,"Income Summary",Equity,2015,0,0,$1,$0.3M,"$287,130"
"Income Summary",Aug,"Income Summary",Equity,2015,0,0,$1,$1.2M,"$1,196,919"
"Income Summary",Dec,"Income Summary",Equity,2015,0,0,$1,$1.7M,"$1,661,328"
"Income Summary",Feb,"Income Summary",Equity,2015,0,0,$1,$0.0M,"$23,841"
"Income Summary",Jan,"Income Summary",Equity,2015,0,0,$1,$0.0M,"$35,533"
"Income Summary",Jul,"Income Summary",Equity,2015,0,0,$1,$0.7M,"$734,956"
"Income Summary",Jun,"Income Summary",Equity,2015,0,0,$1,$0.6M,"$592,635"
"Income Summary",Mar,"Income Summary",Equity,2015,0,0,$1,$0.2M,"$178,346"
"Income Summary",May,"Income Summary",Equity,2015,0,0,$1,$0.3M,"$294,341"
"Income Summary",Nov,"Income Summary",Equity,2015,0,0,$1,$1.7M,"$1,684,145"
"Income Summary",Oct,"Income Summary",Equity,2015,0,0,$1,$1.7M,"$1,685,876"
"Income Summary",Sep,"Income Summary",Equity,2015,0,0,$1,$1.5M,"$1,544,167"
"Retained Earnings",Apr,"Retained Earnings",Equity,2015,0,0,$1,($1.1M),"-$1,111,509"
"Retained Earnings",Aug,"Retained Earnings",Equity,2015,0,0,$1,($1.1M),"-$1,111,509"
"Retained Earnings",Dec,"Retained Earnings",Equity,2015,0,0,$1,($1.1M),"-$1,111,509"
"Retained Earnings",Feb,"Retained Earnings",Equity,2015,0,0,$1,($1.1M),"-$1,111,509"
"Retained Earnings",Jan,"Retained Earnings",Equity,2015,0,0,$1,($1.1M),"-$1,111,509"
"Retained Earnings",Jul,"Retained Earnings",Equity,2015,0,0,$1,($1.1M),"-$1,111,509"
"Retained Earnings",Jun,"Retained Earnings",Equity,2015,0,0,$1,($1.1M),"-$1,111,509"
"Retained Earnings",Mar,"Retained Earnings",Equity,2015,0,0,$1,($1.1M),"-$1,111,509"
"Retained Earnings",May,"Retained Earnings",Equity,2015,0,0,$1,($1.1M),"-$1,111,509"
"Retained Earnings",Nov,"Retained Earnings",Equity,2015,0,0,$1,($1.1M),"-$1,111,509"
"Retained Earnings",Oct,"Retained Earnings",Equity,2015,0,0,$1,($1.1M),"-$1,111,509"
"Retained Earnings",Sep,"Retained Earnings",Equity,2015,0,0,$1,($1.1M),"-$1,111,509"
"Total Current Liabilities",Apr,"Accounts Payable Trade",Liabilities,2015,0,0,$1,$5.8M,"$5,751,666"
"Total Current Liabilities",Apr,"Accrued Claims Payable",Liabilities,2015,0,0,$1,$0.0M,"$6,930"
"Total Current Liabilities",Apr,"Accrued COGS Payable",Liabilities,2015,0,0,$1,$2.5M,"$2,520,442"
"Total Current Liabilities",Apr,"Customer Deposits",Liabilities,2015,0,0,$1,$3.8M,"$3,787,101"
"Total Current Liabilities",Apr,"Line of Credit",Liabilities,2015,0,0,$1,$4.6M,"$4,589,046"
"Total Current Liabilities",Apr,"Other Accrued Payables",Liabilities,2015,0,0,$1,$1.5M,"$1,467,439"
"Total Current Liabilities",Apr,"Salaries and Wages Tax Payable",Liabilities,2015,0,0,$1,$0.3M,"$331,134"
"Total Current Liabilities",Apr,"Short Term Notes Other",Liabilities,2015,0,0,$1,$0.2M,"$200,000"
"Total Current Liabilities",Aug,"Accounts Payable Trade",Liabilities,2015,0,0,$1,$6.8M,"$6,834,839"
"Total Current Liabilities",Aug,"Accrued Claims Payable",Liabilities,2015,0,0,$1,$0.1M,"$123,615"
"Total Current Liabilities",Aug,"Accrued COGS Payable",Liabilities,2015,0,0,$1,$3.6M,"$3,643,672"
"Total Current Liabilities",Aug,"Customer Deposits",Liabilities,2015,0,0,$1,$2.6M,"$2,630,179"
"Total Current Liabilities",Aug,"Line of Credit",Liabilities,2015,0,0,$1,$5.5M,"$5,524,317"
"Total Current Liabilities",Aug,"Other Accrued Payables",Liabilities,2015,0,0,$1,$1.5M,"$1,517,220"
"Total Current Liabilities",Aug,"Salaries and Wages Tax Payable",Liabilities,2015,0,0,$1,$0.5M,"$453,043"
"Total Current Liabilities",Aug,"Short Term Notes Other",Liabilities,2015,0,0,$1,$0.2M,"$200,000"
"Total Current Liabilities",Dec,"Accounts Payable Trade",Liabilities,2015,0,0,$1,$7.6M,"$7,591,835"
"Total Current Liabilities",Dec,"Accrued Claims Payable",Liabilities,2015,0,0,$1,$0.0M,"$3,615"
"Total Current Liabilities",Dec,"Accrued COGS Payable",Liabilities,2015,0,0,$1,$2.4M,"$2,433,618"
"Total Current Liabilities",Dec,"Customer Deposits",Liabilities,2015,0,0,$1,$0.2M,"$234,566"
"Total Current Liabilities",Dec,"Line of Credit",Liabilities,2015,0,0,$1,$4.7M,"$4,666,555"
"Total Current Liabilities",Dec,"Other Accrued Payables",Liabilities,2015,0,0,$1,$2.6M,"$2,608,809"
"Total Current Liabilities",Dec,"Salaries and Wages Tax Payable",Liabilities,2015,0,0,$1,$0.5M,"$529,900"
"Total Current Liabilities",Dec,"Short Term Notes Other",Liabilities,2015,0,0,$1,$0.2M,"$200,000"
"Total Current Liabilities",Feb,"Accounts Payable Trade",Liabilities,2015,0,0,$1,$5.2M,"$5,197,286"
"Total Current Liabilities",Feb,"Accrued Claims Payable",Liabilities,2015,0,0,$1,$0.0M,"$14,430"
"Total Current Liabilities",Feb,"Accrued COGS Payable",Liabilities,2015,0,0,$1,$2.7M,"$2,711,903"
"Total Current Liabilities",Feb,"Customer Deposits",Liabilities,2015,0,0,$1,$0.4M,"$436,424"
"Total Current Liabilities",Feb,"Line of Credit",Liabilities,2015,0,0,$1,$3.8M,"$3,764,562"
"Total Current Liabilities",Feb,"Other Accrued Payables",Liabilities,2015,0,0,$1,$1.5M,"$1,483,692"
"Total Current Liabilities",Feb,"Salaries and Wages Tax Payable",Liabilities,2015,0,0,$1,$0.3M,"$339,335"
"Total Current Liabilities",Feb,"Short Term Notes Other",Liabilities,2015,0,0,$1,$0.2M,"$200,000"
"Total Current Liabilities",Jan,"Accounts Payable Trade",Liabilities,2015,0,0,$1,$6.0M,"$6,013,404"
"Total Current Liabilities",Jan,"Accrued Claims Payable",Liabilities,2015,0,0,$1,$0.0M,"$10,354"
"Total Current Liabilities",Jan,"Accrued COGS Payable",Liabilities,2015,0,0,$1,$2.3M,"$2,252,439"
"Total Current Liabilities",Jan,"Customer Deposits",Liabilities,2015,0,0,$1,$0.2M,"$200,113"
"Total Current Liabilities",Jan,"Line of Credit",Liabilities,2015,0,0,$1,$3.7M,"$3,710,694"
"Total Current Liabilities",Jan,"Other Accrued Payables",Liabilities,2015,0,0,$1,$1.5M,"$1,523,336"
"Total Current Liabilities",Jan,"Salaries and Wages Tax Payable",Liabilities,2015,0,0,$1,$0.3M,"$289,622"
"Total Current Liabilities",Jan,"Short Term Notes Other",Liabilities,2015,0,0,$1,$0.2M,"$200,000"
"Total Current Liabilities",Jul,"Accounts Payable Trade",Liabilities,2015,0,0,$1,$5.3M,"$5,337,342"
"Total Current Liabilities",Jul,"Accrued Claims Payable",Liabilities,2015,0,0,$1,$0.1M,"$108,195"
"Total Current Liabilities",Jul,"Accrued COGS Payable",Liabilities,2015,0,0,$1,$2.8M,"$2,818,548"
"Total Current Liabilities",Jul,"Customer Deposits",Liabilities,2015,0,0,$1,$3.1M,"$3,090,068"
"Total Current Liabilities",Jul,"Line of Credit",Liabilities,2015,0,0,$1,$4.6M,"$4,602,347"
"Total Current Liabilities",Jul,"Other Accrued Payables",Liabilities,2015,0,0,$1,$1.7M,"$1,700,899"
"Total Current Liabilities",Jul,"Salaries and Wages Tax Payable",Liabilities,2015,0,0,$1,$0.5M,"$456,404"
"Total Current Liabilities",Jul,"Short Term Notes Other",Liabilities,2015,0,0,$1,$0.2M,"$200,000"
"Total Current Liabilities",Jun,"Accounts Payable Trade",Liabilities,2015,0,0,$1,$6.3M,"$6,307,222"
"Total Current Liabilities",Jun,"Accrued Claims Payable",Liabilities,2015,0,0,$1,$0.0M,"$9,190"
"Total Current Liabilities",Jun,"Accrued COGS Payable",Liabilities,2015,0,0,$1,$2.6M,"$2,562,159"
"Total Current Liabilities",Jun,"Customer Deposits",Liabilities,2015,0,0,$1,$0.7M,"$711,047"
"Total Current Liabilities",Jun,"Line of Credit",Liabilities,2015,0,0,$1,$5.0M,"$5,024,095"
"Total Current Liabilities",Jun,"Other Accrued Payables",Liabilities,2015,0,0,$1,$1.7M,"$1,718,726"
"Total Current Liabilities",Jun,"Salaries and Wages Tax Payable",Liabilities,2015,0,0,$1,$0.4M,"$434,628"
"Total Current Liabilities",Jun,"Short Term Notes Other",Liabilities,2015,0,0,$1,$0.2M,"$200,000"
"Total Current Liabilities",Mar,"Accounts Payable Trade",Liabilities,2015,0,0,$1,$6.4M,"$6,420,242"
"Total Current Liabilities",Mar,"Accrued Claims Payable",Liabilities,2015,0,0,$1,$0.0M,"$17,930"
"Total Current Liabilities",Mar,"Accrued COGS Payable",Liabilities,2015,0,0,$1,$2.4M,"$2,368,496"
"Total Current Liabilities",Mar,"Customer Deposits",Liabilities,2015,0,0,$1,$0.3M,"$307,257"
"Total Current Liabilities",Mar,"Line of Credit",Liabilities,2015,0,0,$1,$4.0M,"$3,989,040"
"Total Current Liabilities",Mar,"Other Accrued Payables",Liabilities,2015,0,0,$1,$1.6M,"$1,594,735"
"Total Current Liabilities",Mar,"Salaries and Wages Tax Payable",Liabilities,2015,0,0,$1,$0.3M,"$344,113"
"Total Current Liabilities",Mar,"Short Term Notes Other",Liabilities,2015,0,0,$1,$0.2M,"$200,000"
"Total Current Liabilities",May,"Accounts Payable Trade",Liabilities,2015,0,0,$1,$6.1M,"$6,125,189"
"Total Current Liabilities",May,"Accrued Claims Payable",Liabilities,2015,0,0,$1,$0.0M,"$9,190"
"Total Current Liabilities",May,"Accrued COGS Payable",Liabilities,2015,0,0,$1,$2.5M,"$2,515,329"
"Total Current Liabilities",May,"Customer Deposits",Liabilities,2015,0,0,$1,$2.1M,"$2,050,316"
"Total Current Liabilities",May,"Line of Credit",Liabilities,2015,0,0,$1,$4.3M,"$4,325,353"
"Total Current Liabilities",May,"Other Accrued Payables",Liabilities,2015,0,0,$1,$1.5M,"$1,466,388"
"Total Current Liabilities",May,"Salaries and Wages Tax Payable",Liabilities,2015,0,0,$1,$0.4M,"$376,709"
"Total Current Liabilities",May,"Short Term Notes Other",Liabilities,2015,0,0,$1,$0.2M,"$200,000"
"Total Current Liabilities",Nov,"Accounts Payable Trade",Liabilities,2015,0,0,$1,$7.8M,"$7,750,518"
"Total Current Liabilities",Nov,"Accrued Claims Payable",Liabilities,2015,0,0,$1,$0.0M,"$3,615"
"Total Current Liabilities",Nov,"Accrued COGS Payable",Liabilities,2015,0,0,$1,$3.4M,"$3,440,764"
"Total Current Liabilities",Nov,"Customer Deposits",Liabilities,2015,0,0,$1,$1.1M,"$1,118,077"
"Total Current Liabilities",Nov,"Line of Credit",Liabilities,2015,0,0,$1,$5.2M,"$5,230,291"
"Total Current Liabilities",Nov,"Other Accrued Payables",Liabilities,2015,0,0,$1,$2.5M,"$2,466,029"
"Total Current Liabilities",Nov,"Salaries and Wages Tax Payable",Liabilities,2015,0,0,$1,$0.6M,"$594,286"
"Total Current Liabilities",Nov,"Short Term Notes Other",Liabilities,2015,0,0,$1,$0.2M,"$200,000"
"Total Current Liabilities",Oct,"Accounts Payable Trade",Liabilities,2015,0,0,$1,$7.9M,"$7,868,253"
"Total Current Liabilities",Oct,"Accrued Claims Payable",Liabilities,2015,0,0,$1,$0.0M,"$10,549"
"Total Current Liabilities",Oct,"Accrued COGS Payable",Liabilities,2015,0,0,$1,$3.8M,"$3,842,885"
"Total Current Liabilities",Oct,"Customer Deposits",Liabilities,2015,0,0,$1,$0.7M,"$675,007"
"Total Current Liabilities",Oct,"Line of Credit",Liabilities,2015,0,0,$1,$5.4M,"$5,407,806"
"Total Current Liabilities",Oct,"Other Accrued Payables",Liabilities,2015,0,0,$1,$2.3M,"$2,334,918"
"Total Current Liabilities",Oct,"Salaries and Wages Tax Payable",Liabilities,2015,0,0,$1,$0.6M,"$647,298"
"Total Current Liabilities",Oct,"Short Term Notes Other",Liabilities,2015,0,0,$1,$0.2M,"$200,000"
"Total Current Liabilities",Sep,"Accounts Payable Trade",Liabilities,2015,0,0,$1,$8.1M,"$8,130,534"
"Total Current Liabilities",Sep,"Accrued Claims Payable",Liabilities,2015,0,0,$1,$0.1M,"$103,615"
"Total Current Liabilities",Sep,"Accrued COGS Payable",Liabilities,2015,0,0,$1,$3.3M,"$3,276,447"
"Total Current Liabilities",Sep,"Customer Deposits",Liabilities,2015,0,0,$1,$2.2M,"$2,230,112"
"Total Current Liabilities",Sep,"Line of Credit",Liabilities,2015,0,0,$1,$6.1M,"$6,095,316"
"Total Current Liabilities",Sep,"Other Accrued Payables",Liabilities,2015,0,0,$1,$1.2M,"$1,224,145"
"Total Current Liabilities",Sep,"Salaries and Wages Tax Payable",Liabilities,2015,0,0,$1,$0.6M,"$565,465"
"Total Current Liabilities",Sep,"Short Term Notes Other",Liabilities,2015,0,0,$1,$0.2M,"$200,000"
