Category,Month,Quarter,"Sub Category",Type,Year,Actual,Actual_[0],"Actual (copy)",Back,Budget,Budget_[0],"Budget (copy)","Cal_GP Actual","Cal_GP Budget","Cal_Rev Actual","Cal_Rev Budget","Number of Records"
"Total General & Administration",Apr,Quarter2,"Training and Development","Operating Expenses",2016,"2,239","$2,239","$2,239",$0,0,$0,$0,,,,,1
"Total Labor",Apr,Quarter2,Bonus,"Operating Expenses",2016,"20,300","$20,300","$20,300",$0,"15,000","$15,000","$15,000",,,,,1
"Total Labor",Apr,Quarter2,Commissions,"Operating Expenses",2016,"81,083","$81,083","$81,083",$0,"61,475","$61,475","$61,475",,,,,1
"Total Labor",Apr,Quarter2,"Contract & Temporary Labor","Operating Expenses",2016,"35,838","$35,838","$35,838",$0,"40,000","$40,000","$40,000",,,,,1
"Total Labor",Apr,Quarter2,"Employee Benefits","Operating Expenses",2016,"64,829","$64,829","$64,829",$0,"1,15,000","$115,000","$115,000",,,,,1
"Total Labor",Apr,Quarter2,"Payroll Tax","Operating Expenses",2016,"58,273","$58,273","$58,273",$0,"62,909","$62,909","$62,909",,,,,1
"Total Labor",Apr,Quarter2,"Salaries & Wages","Operating Expenses",2016,"6,76,667","$676,667","$676,667",$0,"6,69,105","$669,105","$669,105",,,,,1
"Total Occupancy Cost",Apr,Quarter2,"Building Operating Costs","Operating Expenses",2016,"24,197","$24,197","$24,197",$0,"25,699","$25,699","$25,699",,,,,1
"Total Occupancy Cost",Apr,Quarter2,"Rent/Fixed Building Costs","Operating Expenses",2016,"47,680","$47,680","$47,680",$0,"28,000","$28,000","$28,000",,,,,1
"Total Travel/M&E",Apr,Quarter2,"Meals & Entertainment","Operating Expenses",2016,"32,985","$32,985","$32,985",$0,"18,000","$18,000","$18,000",,,,,1
"Total Travel/M&E",Apr,Quarter2,Travel,"Operating Expenses",2016,"51,600","$51,600","$51,600",$0,"40,000","$40,000","$40,000",,,,,1
"Total Depreciation",Jun,Quarter2,"Total Depreciation","Operating Expenses",2016,"27,463","$27,463","$27,463",$0,"24,630","$24,630","$24,630",,,,,1
"Total General & Administration",Jun,Quarter2,"Advertising & Promotion","Operating Expenses",2016,"4,829","$4,829","$4,829",$0,0,$0,$0,,,,,1
"Total General & Administration",Jun,Quarter2,"Bad Debt","Operating Expenses",2016,"-3,417","-$3,417","-$3,417",$0,0,$0,$0,,,,,1
"Total General & Administration",Jun,Quarter2,"Charitable Contributions","Operating Expenses",2016,"9,580","$9,580","$9,580",$0,0,$0,$0,,,,,1
"Total General & Administration",Jun,Quarter2,Communication,"Operating Expenses",2016,"35,829","$35,829","$35,829",$0,"35,000","$35,000","$35,000",,,,,1
"Total General & Administration",Jun,Quarter2,"Dues, Licenses, & Fees","Operating Expenses",2016,"23,684","$23,684","$23,684",$0,"29,500","$29,500","$29,500",,,,,1
"Total General & Administration",Jun,Quarter2,"Equipment Rental","Operating Expenses",2016,"1,211","$1,211","$1,211",$0,"3,000","$3,000","$3,000",,,,,1
"Total General & Administration",Jun,Quarter2,"Gains and Losses","Operating Expenses",2016,"-9,112","-$9,112","-$9,112",$0,0,$0,$0,,,,,1
"Total General & Administration",Jun,Quarter2,Insurance,"Operating Expenses",2016,"16,647","$16,647","$16,647",$0,"17,500","$17,500","$17,500",,,,,1
"Total General & Administration",Jun,Quarter2,"Leased Equipment","Operating Expenses",2016,"7,403","$7,403","$7,403",$0,"8,850","$8,850","$8,850",,,,,1
"Total General & Administration",Jun,Quarter2,"Legal Settlement","Operating Expenses",2016,0,$0,$0,$0,0,$0,$0,,,,,1
"Total General & Administration",Jun,Quarter2,"Office Expenses/Supplies","Operating Expenses",2016,"21,011","$21,011","$21,011",$0,"18,000","$18,000","$18,000",,,,,1
"Total General & Administration",Jun,Quarter2,"Outside Services","Operating Expenses",2016,"80,442","$80,442","$80,442",$0,"45,000","$45,000","$45,000",,,,,1
"Total General & Administration",Jun,Quarter2,"Repairs & Maintenance Equipment","Operating Expenses",2016,"3,358","$3,358","$3,358",$0,"1,250","$1,250","$1,250",,,,,1
"Total General & Administration",Jun,Quarter2,"Software Support","Operating Expenses",2016,"37,330","$37,330","$37,330",$0,"29,000","$29,000","$29,000",,,,,1
"Total General & Administration",Jun,Quarter2,"Training and Development","Operating Expenses",2016,"2,865","$2,865","$2,865",$0,0,$0,$0,,,,,1
"Total Labor",Jun,Quarter2,Bonus,"Operating Expenses",2016,"35,616","$35,616","$35,616",$0,"15,000","$15,000","$15,000",,,,,1
"Total Labor",Jun,Quarter2,Commissions,"Operating Expenses",2016,"1,07,462","$107,462","$107,462",$0,"68,295","$68,295","$68,295",,,,,1
"Total Labor",Jun,Quarter2,"Contract & Temporary Labor","Operating Expenses",2016,"39,706","$39,706","$39,706",$0,"40,000","$40,000","$40,000",,,,,1
"Total Labor",Jun,Quarter2,"Employee Benefits","Operating Expenses",2016,"78,091","$78,091","$78,091",$0,"1,15,000","$115,000","$115,000",,,,,1
"Total Labor",Jun,Quarter2,"Payroll Tax","Operating Expenses",2016,"63,197","$63,197","$63,197",$0,"51,299","$51,299","$51,299",,,,,1
"Total Labor",Jun,Quarter2,"Salaries & Wages","Operating Expenses",2016,"7,25,902","$725,902","$725,902",$0,"6,95,980","$695,980","$695,980",,,,,1
"Total Occupancy Cost",Jun,Quarter2,"Building Operating Costs","Operating Expenses",2016,"25,848","$25,848","$25,848",$0,"25,699","$25,699","$25,699",,,,,1
"Total Occupancy Cost",Jun,Quarter2,"Rent/Fixed Building Costs","Operating Expenses",2016,"30,544","$30,544","$30,544",$0,"28,000","$28,000","$28,000",,,,,1
"Total Travel/M&E",Jun,Quarter2,"Meals & Entertainment","Operating Expenses",2016,"13,217","$13,217","$13,217",$0,"18,000","$18,000","$18,000",,,,,1
"Total Travel/M&E",Jun,Quarter2,Travel,"Operating Expenses",2016,"40,056","$40,056","$40,056",$0,"40,000","$40,000","$40,000",,,,,1
"Total Depreciation",May,Quarter2,"Total Depreciation","Operating Expenses",2016,"22,825","$22,825","$22,825",$0,"24,630","$24,630","$24,630",,,,,1
"Total General & Administration",May,Quarter2,"Advertising & Promotion","Operating Expenses",2016,"4,682","$4,682","$4,682",$0,0,$0,$0,,,,,1
"Total General & Administration",May,Quarter2,"Bad Debt","Operating Expenses",2016,"13,093","$13,093","$13,093",$0,0,$0,$0,,,,,1
"Total General & Administration",May,Quarter2,"Charitable Contributions","Operating Expenses",2016,"5,945","$5,945","$5,945",$0,0,$0,$0,,,,,1
"Total General & Administration",May,Quarter2,Communication,"Operating Expenses",2016,"36,344","$36,344","$36,344",$0,"35,000","$35,000","$35,000",,,,,1
"Total General & Administration",May,Quarter2,"Dues, Licenses, & Fees","Operating Expenses",2016,"32,127","$32,127","$32,127",$0,"29,500","$29,500","$29,500",,,,,1
"Total General & Administration",May,Quarter2,"Equipment Rental","Operating Expenses",2016,0,$0,$0,$0,"3,000","$3,000","$3,000",,,,,1
"Total General & Administration",May,Quarter2,"Gains and Losses","Operating Expenses",2016,"-22,436","-$22,436","-$22,436",$0,0,$0,$0,,,,,1
"Total General & Administration",May,Quarter2,Insurance,"Operating Expenses",2016,"16,058","$16,058","$16,058",$0,"17,500","$17,500","$17,500",,,,,1
"Total General & Administration",May,Quarter2,"Leased Equipment","Operating Expenses",2016,"9,006","$9,006","$9,006",$0,"8,850","$8,850","$8,850",,,,,1
"Total General & Administration",May,Quarter2,"Legal Settlement","Operating Expenses",2016,0,$0,$0,$0,0,$0,$0,,,,,1
"Total General & Administration",May,Quarter2,"Office Expenses/Supplies","Operating Expenses",2016,"29,122","$29,122","$29,122",$0,"18,000","$18,000","$18,000",,,,,1
"Total General & Administration",May,Quarter2,"Outside Services","Operating Expenses",2016,"23,089","$23,089","$23,089",$0,"45,000","$45,000","$45,000",,,,,1
"Total General & Administration",May,Quarter2,"Repairs & Maintenance Equipment","Operating Expenses",2016,"2,364","$2,364","$2,364",$0,"1,250","$1,250","$1,250",,,,,1
"Total General & Administration",May,Quarter2,"Software Support","Operating Expenses",2016,"31,103","$31,103","$31,103",$0,"29,000","$29,000","$29,000",,,,,1
"Total General & Administration",May,Quarter2,"Training and Development","Operating Expenses",2016,"4,092","$4,092","$4,092",$0,0,$0,$0,,,,,1
"Total Labor",May,Quarter2,Bonus,"Operating Expenses",2016,"30,524","$30,524","$30,524",$0,"15,000","$15,000","$15,000",,,,,1
"Total Labor",May,Quarter2,Commissions,"Operating Expenses",2016,"72,142","$72,142","$72,142",$0,"64,038","$64,038","$64,038",,,,,1
"Total Labor",May,Quarter2,"Contract & Temporary Labor","Operating Expenses",2016,"27,501","$27,501","$27,501",$0,"40,000","$40,000","$40,000",,,,,1
"Total Labor",May,Quarter2,"Employee Benefits","Operating Expenses",2016,"79,610","$79,610","$79,610",$0,"1,15,000","$115,000","$115,000",,,,,1
"Total Labor",May,Quarter2,"Payroll Tax","Operating Expenses",2016,"57,560","$57,560","$57,560",$0,"63,125","$63,125","$63,125",,,,,1
"Total Labor",May,Quarter2,"Salaries & Wages","Operating Expenses",2016,"6,86,889","$686,889","$686,889",$0,"6,69,105","$669,105","$669,105",,,,,1
"Total Occupancy Cost",May,Quarter2,"Building Operating Costs","Operating Expenses",2016,"20,105","$20,105","$20,105",$0,"25,699","$25,699","$25,699",,,,,1
"Total Occupancy Cost",May,Quarter2,"Rent/Fixed Building Costs","Operating Expenses",2016,"32,455","$32,455","$32,455",$0,"28,000","$28,000","$28,000",,,,,1
"Total Travel/M&E",May,Quarter2,"Meals & Entertainment","Operating Expenses",2016,"19,272","$19,272","$19,272",$0,"18,000","$18,000","$18,000",,,,,1
"Total Travel/M&E",May,Quarter2,Travel,"Operating Expenses",2016,"52,118","$52,118","$52,118",$0,"40,000","$40,000","$40,000",,,,,1
"Operating Income",Apr,Quarter2,,"Operating Income",2016,"1,62,270","$162,270","$162,270",$0,"1,64,455","$164,455","$164,455",,,,,1
"Operating Income",Jun,Quarter2,,"Operating Income",2016,"5,09,795","$509,795","$509,795",$0,"3,11,194","$311,194","$311,194",,,,,1
"Operating Income",May,Quarter2,,"Operating Income",2016,"2,42,222","$242,222","$242,222",$0,"2,24,075","$224,075","$224,075",,,,,1
"Total Interest",Apr,Quarter2,,"Other Expenses",2016,"46,344","$46,344","$46,344",$0,"20,000","$20,000","$20,000",,,,,1
"Total Taxes",Apr,Quarter2,,"Other Expenses",2016,"72,000","$72,000","$72,000",$0,"53,505","$53,505","$53,505",,,,,1
"Unusual Expense/Gain",Apr,Quarter2,,"Other Expenses",2016,"1,16,667","$116,667","$116,667",$0,"6,500","$6,500","$6,500",,,,,1
"Total Interest",Jun,Quarter2,,"Other Expenses",2016,"86,730","$86,730","$86,730",$0,"22,500","$22,500","$22,500",,,,,1
"Total Taxes",Jun,Quarter2,,"Other Expenses",2016,"1,13,200","$113,200","$113,200",$0,"1,02,546","$102,546","$102,546",,,,,1
"Unusual Expense/Gain",Jun,Quarter2,,"Other Expenses",2016,"42,931","$42,931","$42,931",$0,"6,500","$6,500","$6,500",,,,,1
"Total Interest",May,Quarter2,,"Other Expenses",2016,"45,411","$45,411","$45,411",$0,"22,500","$22,500","$22,500",,,,,1
"Total Taxes",May,Quarter2,,"Other Expenses",2016,"1,69,900","$169,900","$169,900",$0,"72,926","$72,926","$72,926",,,,,1
"Unusual Expense/Gain",May,Quarter2,,"Other Expenses",2016,"-3,810","-$3,810","-$3,810",$0,"6,500","$6,500","$6,500",,,,,1
"Other Revenue",Apr,Quarter2,,Revenue,2016,"-1,29,567","-$129,567","-$129,567",$0,0,$0,$0,,,"-1,29,567",0,1
"Transportation - Domestic",Apr,Quarter2,,Revenue,2016,"34,87,908","$3,487,908","$3,487,908",$0,"39,03,625","$3,903,625","$3,903,625",,,"34,87,908","39,03,625",1
"Transportation - International",Apr,Quarter2,,Revenue,2016,"20,24,926","$2,024,926","$2,024,926",$0,"13,75,000","$1,375,000","$1,375,000",,,"20,24,926","13,75,000",1
Warehouse,Apr,Quarter2,,Revenue,2016,"2,80,067","$280,067","$280,067",$0,"3,10,000","$310,000","$310,000",,,"2,80,067","3,10,000",1
"Other Revenue",Jun,Quarter2,,Revenue,2016,"-1,31,429","-$131,429","-$131,429",$0,0,$0,$0,,,"-1,31,429",0,1
"Transportation - Domestic",Jun,Quarter2,,Revenue,2016,"45,41,314","$4,541,314","$4,541,314",$0,"44,93,625","$4,493,625","$4,493,625",,,"45,41,314","44,93,625",1
"Transportation - International",Jun,Quarter2,,Revenue,2016,"22,83,009","$2,283,009","$2,283,009",$0,"14,00,000","$1,400,000","$1,400,000",,,"22,83,009","14,00,000",1
Warehouse,Jun,Quarter2,,Revenue,2016,"3,53,663","$353,663","$353,663",$0,"3,15,000","$315,000","$315,000",,,"3,53,663","3,15,000",1
"Other Revenue",May,Quarter2,,Revenue,2016,"-1,10,199","-$110,199","-$110,199",$0,0,$0,$0,,,"-1,10,199",0,1
"Transportation - Domestic",May,Quarter2,,Revenue,2016,"33,53,052","$3,353,052","$3,353,052",$0,"41,06,625","$4,106,625","$4,106,625",,,"33,53,052","41,06,625",1
"Transportation - International",May,Quarter2,,Revenue,2016,"19,90,324","$1,990,324","$1,990,324",$0,"14,00,000","$1,400,000","$1,400,000",,,"19,90,324","14,00,000",1
Warehouse,May,Quarter2,,Revenue,2016,"3,20,455","$320,455","$320,455",$0,"3,15,000","$315,000","$315,000",,,"3,20,455","3,15,000",1
"Claims COGS",Aug,Quarter3,,"Cost of Sales",2016,"2,77,751","$277,751","$277,751",$0,"9,500","$9,500","$9,500",,,,,1
Fulfillment,Aug,Quarter3,,"Cost of Sales",2016,0,$0,$0,$0,0,$0,$0,,,,,1
"PDG Diesel",Aug,Quarter3,,"Cost of Sales",2016,0,$0,$0,$0,0,$0,$0,,,,,1
"Transportation - Domestic",Aug,Quarter3,,"Cost of Sales",2016,"32,76,088","$3,276,088","$3,276,088",$0,"31,24,628","$3,124,628","$3,124,628",,,,,1
"Transportation - International",Aug,Quarter3,,"Cost of Sales",2016,"18,85,861","$1,885,861","$1,885,861",$0,"11,37,125","$1,137,125","$1,137,125",,,,,1
Warehouse,Aug,Quarter3,,"Cost of Sales",2016,"3,43,708","$343,708","$343,708",$0,"1,73,250","$173,250","$173,250",,,,,1
"Warehouse Allocation",Aug,Quarter3,,"Cost of Sales",2016,29,$29,$29,$0,0,$0,$0,,,,,1
"Claims COGS",Jul,Quarter3,,"Cost of Sales",2016,"24,768","$24,768","$24,768",$0,"9,500","$9,500","$9,500",,,,,1
Fulfillment,Jul,Quarter3,,"Cost of Sales",2016,0,$0,$0,$0,0,$0,$0,,,,,1
"PDG Diesel",Jul,Quarter3,,"Cost of Sales",2016,0,$0,$0,$0,0,$0,$0,,,,,1
"Transportation - Domestic",Jul,Quarter3,,"Cost of Sales",2016,"30,11,745","$3,011,745","$3,011,745",$0,"27,67,203","$2,767,203","$2,767,203",,,,,1
"Transportation - International",Jul,Quarter3,,"Cost of Sales",2016,"15,36,442","$1,536,442","$1,536,442",$0,"11,57,800","$1,157,800","$1,157,800",,,,,1
Warehouse,Jul,Quarter3,,"Cost of Sales",2016,"1,77,997","$177,997","$177,997",$0,"1,73,250","$173,250","$173,250",,,,,1
"Warehouse Allocation",Jul,Quarter3,,"Cost of Sales",2016,0,$0,$0,$0,0,$0,$0,,,,,1
"Claims COGS",Sep,Quarter3,,"Cost of Sales",2016,"1,13,321","$113,321","$113,321",$0,"9,500","$9,500","$9,500",,,,,1
Fulfillment,Sep,Quarter3,,"Cost of Sales",2016,0,$0,$0,$0,0,$0,$0,,,,,1
"PDG Diesel",Sep,Quarter3,,"Cost of Sales",2016,0,$0,$0,$0,0,$0,$0,,,,,1
"Transportation - Domestic",Sep,Quarter3,,"Cost of Sales",2016,"38,64,058","$3,864,058","$3,864,058",$0,"33,46,328","$3,346,328","$3,346,328",,,,,1
"Transportation - International",Sep,Quarter3,,"Cost of Sales",2016,"16,60,633","$1,660,633","$1,660,633",$0,"11,57,800","$1,157,800","$1,157,800",,,,,1
Warehouse,Sep,Quarter3,,"Cost of Sales",2016,"2,71,848","$271,848","$271,848",$0,"1,73,250","$173,250","$173,250",,,,,1
"Warehouse Allocation",Sep,Quarter3,,"Cost of Sales",2016,0,$0,$0,$0,0,$0,$0,,,,,1
EBITDA,Aug,Quarter3,,EBITDA,2016,"7,57,658","$757,658","$757,658",$0,"2,65,988","$265,988","$265,988",,,,,1
EBITDA,Jul,Quarter3,,EBITDA,2016,"4,11,889","$411,889","$411,889",$0,"1,55,362","$155,362","$155,362",,,,,1
EBITDA,Sep,Quarter3,,EBITDA,2016,"5,01,419","$501,419","$501,419",$0,"3,31,558","$331,558","$331,558",,,,,1
"Gross Profit",Aug,Quarter3,,"Gross Profit",2016,"22,38,894","$2,238,894","$2,238,894",$0,"15,69,122","$1,569,122","$1,569,122","22,38,894","15,69,122",,,1
"Gross Profit",Jul,Quarter3,,"Gross Profit",2016,"18,94,343","$1,894,343","$1,894,343",$0,"14,37,872","$1,437,872","$1,437,872","18,94,343","14,37,872",,,1
"Gross Profit",Sep,Quarter3,,"Gross Profit",2016,"21,23,141","$2,123,141","$2,123,141",$0,"16,43,747","$1,643,747","$1,643,747","21,23,141","16,43,747",,,1
"Net Income",Aug,Quarter3,,"Net Income",2016,"4,61,963","$461,963","$461,963",$0,"1,31,906","$131,906","$131,906",,,,,1
"Net Income",Jul,Quarter3,,"Net Income",2016,"1,42,320","$142,320","$142,320",$0,"56,583","$56,583","$56,583",,,,,1
"Net Income",Sep,Quarter3,,"Net Income",2016,"3,47,249","$347,249","$347,249",$0,"1,75,189","$175,189","$175,189",,,,,1
"Total Depreciation",Aug,Quarter3,"Total Depreciation","Operating Expenses",2016,"31,699","$31,699","$31,699",$0,"24,630","$24,630","$24,630",,,,,1
"Total General & Administration",Aug,Quarter3,"Advertising & Promotion","Operating Expenses",2016,269,$269,$269,$0,0,$0,$0,,,,,1
"Total General & Administration",Aug,Quarter3,"Bad Debt","Operating Expenses",2016,"1,587","$1,587","$1,587",$0,0,$0,$0,,,,,1
"Total General & Administration",Aug,Quarter3,"Charitable Contributions","Operating Expenses",2016,-300,-$300,-$300,$0,0,$0,$0,,,,,1
"Total General & Administration",Aug,Quarter3,Communication,"Operating Expenses",2016,"33,132","$33,132","$33,132",$0,"35,000","$35,000","$35,000",,,,,1
"Total General & Administration",Aug,Quarter3,"Dues, Licenses, & Fees","Operating Expenses",2016,"48,668","$48,668","$48,668",$0,"29,500","$29,500","$29,500",,,,,1
"Total General & Administration",Aug,Quarter3,"Equipment Rental","Operating Expenses",2016,"1,578","$1,578","$1,578",$0,"3,000","$3,000","$3,000",,,,,1
"Total General & Administration",Aug,Quarter3,"Gains and Losses","Operating Expenses",2016,398,$398,$398,$0,0,$0,$0,,,,,1
"Total General & Administration",Aug,Quarter3,Insurance,"Operating Expenses",2016,"17,868","$17,868","$17,868",$0,"17,500","$17,500","$17,500",,,,,1
"Total General & Administration",Aug,Quarter3,"Leased Equipment","Operating Expenses",2016,"9,907","$9,907","$9,907",$0,"8,850","$8,850","$8,850",,,,,1
"Total General & Administration",Aug,Quarter3,"Legal Settlement","Operating Expenses",2016,0,$0,$0,$0,0,$0,$0,,,,,1
"Total General & Administration",Aug,Quarter3,"Office Expenses/Supplies","Operating Expenses",2016,"20,047","$20,047","$20,047",$0,"18,000","$18,000","$18,000",,,,,1
"Total General & Administration",Aug,Quarter3,"Outside Services","Operating Expenses",2016,"71,822","$71,822","$71,822",$0,"45,000","$45,000","$45,000",,,,,1
"Total General & Administration",Aug,Quarter3,"Repairs & Maintenance Equipment","Operating Expenses",2016,"1,127","$1,127","$1,127",$0,"1,250","$1,250","$1,250",,,,,1
"Total General & Administration",Aug,Quarter3,"Software Support","Operating Expenses",2016,"43,302","$43,302","$43,302",$0,"29,000","$29,000","$29,000",,,,,1
"Total General & Administration",Aug,Quarter3,"Training and Development","Operating Expenses",2016,"2,621","$2,621","$2,621",$0,0,$0,$0,,,,,1
"Total Labor",Aug,Quarter3,Bonus,"Operating Expenses",2016,"44,914","$44,914","$44,914",$0,"15,000","$15,000","$15,000",,,,,1
"Total Labor",Aug,Quarter3,Commissions,"Operating Expenses",2016,"1,15,084","$115,084","$115,084",$0,"72,164","$72,164","$72,164",,,,,1
"Total Labor",Aug,Quarter3,"Contract & Temporary Labor","Operating Expenses",2016,"30,994","$30,994","$30,994",$0,"40,000","$40,000","$40,000",,,,,1
"Total Labor",Aug,Quarter3,"Employee Benefits","Operating Expenses",2016,"75,459","$75,459","$75,459",$0,"1,15,000","$115,000","$115,000",,,,,1
"Total Labor",Aug,Quarter3,"Payroll Tax","Operating Expenses",2016,"67,373","$67,373","$67,373",$0,"52,149","$52,149","$52,149",,,,,1
"Total Labor",Aug,Quarter3,"Salaries & Wages","Operating Expenses",2016,"7,53,981","$753,981","$753,981",$0,"7,05,023","$705,023","$705,023",,,,,1
"Total Occupancy Cost",Aug,Quarter3,"Building Operating Costs","Operating Expenses",2016,"24,284","$24,284","$24,284",$0,"25,699","$25,699","$25,699",,,,,1
"Total Occupancy Cost",Aug,Quarter3,"Rent/Fixed Building Costs","Operating Expenses",2016,"32,321","$32,321","$32,321",$0,"28,000","$28,000","$28,000",,,,,1
"Total Travel/M&E",Aug,Quarter3,"Meals & Entertainment","Operating Expenses",2016,"32,820","$32,820","$32,820",$0,"18,000","$18,000","$18,000",,,,,1
"Total Travel/M&E",Aug,Quarter3,Travel,"Operating Expenses",2016,"51,979","$51,979","$51,979",$0,"45,000","$45,000","$45,000",,,,,1
"Total Depreciation",Jul,Quarter3,"Total Depreciation","Operating Expenses",2016,"26,707","$26,707","$26,707",$0,"24,630","$24,630","$24,630",,,,,1
"Total General & Administration",Jul,Quarter3,"Advertising & Promotion","Operating Expenses",2016,"4,376","$4,376","$4,376",$0,0,$0,$0,,,,,1
"Total General & Administration",Jul,Quarter3,"Bad Debt","Operating Expenses",2016,-547,-$547,-$547,$0,0,$0,$0,,,,,1
"Total General & Administration",Jul,Quarter3,"Charitable Contributions","Operating Expenses",2016,390,$390,$390,$0,0,$0,$0,,,,,1
"Total General & Administration",Jul,Quarter3,Communication,"Operating Expenses",2016,"38,339","$38,339","$38,339",$0,"35,000","$35,000","$35,000",,,,,1
"Total General & Administration",Jul,Quarter3,"Dues, Licenses, & Fees","Operating Expenses",2016,"36,260","$36,260","$36,260",$0,"29,500","$29,500","$29,500",,,,,1
"Total General & Administration",Jul,Quarter3,"Equipment Rental","Operating Expenses",2016,"3,820","$3,820","$3,820",$0,"3,000","$3,000","$3,000",,,,,1
"Total General & Administration",Jul,Quarter3,"Gains and Losses","Operating Expenses",2016,"-13,124","-$13,124","-$13,124",$0,0,$0,$0,,,,,1
"Total General & Administration",Jul,Quarter3,Insurance,"Operating Expenses",2016,"17,866","$17,866","$17,866",$0,"17,500","$17,500","$17,500",,,,,1
"Total General & Administration",Jul,Quarter3,"Leased Equipment","Operating Expenses",2016,"7,045","$7,045","$7,045",$0,"8,850","$8,850","$8,850",,,,,1
"Total General & Administration",Jul,Quarter3,"Legal Settlement","Operating Expenses",2016,0,$0,$0,$0,0,$0,$0,,,,,1
"Total General & Administration",Jul,Quarter3,"Office Expenses/Supplies","Operating Expenses",2016,"30,884","$30,884","$30,884",$0,"18,000","$18,000","$18,000",,,,,1
"Total General & Administration",Jul,Quarter3,"Outside Services","Operating Expenses",2016,"69,399","$69,399","$69,399",$0,"45,000","$45,000","$45,000",,,,,1
"Total General & Administration",Jul,Quarter3,"Repairs & Maintenance Equipment","Operating Expenses",2016,"4,089","$4,089","$4,089",$0,"1,250","$1,250","$1,250",,,,,1
"Total General & Administration",Jul,Quarter3,"Software Support","Operating Expenses",2016,"34,715","$34,715","$34,715",$0,"29,000","$29,000","$29,000",,,,,1
"Total General & Administration",Jul,Quarter3,"Training and Development","Operating Expenses",2016,"6,070","$6,070","$6,070",$0,0,$0,$0,,,,,1
"Total Labor",Jul,Quarter3,Bonus,"Operating Expenses",2016,"34,610","$34,610","$34,610",$0,"15,000","$15,000","$15,000",,,,,1
"Total Labor",Jul,Quarter3,Commissions,"Operating Expenses",2016,"1,01,423","$101,423","$101,423",$0,"66,548","$66,548","$66,548",,,,,1
"Total Labor",Jul,Quarter3,"Contract & Temporary Labor","Operating Expenses",2016,"40,377","$40,377","$40,377",$0,"40,000","$40,000","$40,000",,,,,1
"Total Labor",Jul,Quarter3,"Employee Benefits","Operating Expenses",2016,"88,037","$88,037","$88,037",$0,"1,15,000","$115,000","$115,000",,,,,1
"Total Labor",Jul,Quarter3,"Payroll Tax","Operating Expenses",2016,"60,906","$60,906","$60,906",$0,"51,184","$51,184","$51,184",,,,,1
"Total Labor",Jul,Quarter3,"Salaries & Wages","Operating Expenses",2016,"7,68,314","$768,314","$768,314",$0,"6,95,980","$695,980","$695,980",,,,,1
"Total Occupancy Cost",Jul,Quarter3,"Building Operating Costs","Operating Expenses",2016,"21,986","$21,986","$21,986",$0,"25,699","$25,699","$25,699",,,,,1
"Total Occupancy Cost",Jul,Quarter3,"Rent/Fixed Building Costs","Operating Expenses",2016,"44,392","$44,392","$44,392",$0,"28,000","$28,000","$28,000",,,,,1
"Total Travel/M&E",Jul,Quarter3,"Meals & Entertainment","Operating Expenses",2016,"12,615","$12,615","$12,615",$0,"18,000","$18,000","$18,000",,,,,1
"Total Travel/M&E",Jul,Quarter3,Travel,"Operating Expenses",2016,"70,211","$70,211","$70,211",$0,"40,000","$40,000","$40,000",,,,,1
"Total Depreciation",Sep,Quarter3,"Total Depreciation","Operating Expenses",2016,"31,696","$31,696","$31,696",$0,"24,630","$24,630","$24,630",,,,,1
"Total General & Administration",Sep,Quarter3,"Advertising & Promotion","Operating Expenses",2016,0,$0,$0,$0,0,$0,$0,,,,,1
"Total General & Administration",Sep,Quarter3,"Bad Debt","Operating Expenses",2016,"1,588","$1,588","$1,588",$0,0,$0,$0,,,,,1
