Category,Month,Quarter,"Sub Category",Type,Year,Actual,Actual_[0],"Actual (copy)",Back,Budget,Budget_[0],"Budget (copy)","Cal_GP Actual","Cal_GP Budget","Cal_Rev Actual","Cal_Rev Budget","Number of Records"
"Total General & Administration",Sep,Quarter3,"Charitable Contributions","Operating Expenses",2016,0,$0,$0,$0,0,$0,$0,,,,,1
"Total General & Administration",Sep,Quarter3,Communication,"Operating Expenses",2016,"35,689","$35,689","$35,689",$0,"35,000","$35,000","$35,000",,,,,1
"Total General & Administration",Sep,Quarter3,"Dues, Licenses, & Fees","Operating Expenses",2016,"20,779","$20,779","$20,779",$0,"29,500","$29,500","$29,500",,,,,1
"Total General & Administration",Sep,Quarter3,"Equipment Rental","Operating Expenses",2016,689,$689,$689,$0,"3,000","$3,000","$3,000",,,,,1
"Total General & Administration",Sep,Quarter3,"Gains and Losses","Operating Expenses",2016,"31,952","$31,952","$31,952",$0,0,$0,$0,,,,,1
"Total General & Administration",Sep,Quarter3,Insurance,"Operating Expenses",2016,"15,368","$15,368","$15,368",$0,"17,500","$17,500","$17,500",,,,,1
"Total General & Administration",Sep,Quarter3,"Leased Equipment","Operating Expenses",2016,"11,365","$11,365","$11,365",$0,"8,850","$8,850","$8,850",,,,,1
"Total General & Administration",Sep,Quarter3,"Legal Settlement","Operating Expenses",2016,0,$0,$0,$0,0,$0,$0,,,,,1
"Total General & Administration",Sep,Quarter3,"Office Expenses/Supplies","Operating Expenses",2016,"18,433","$18,433","$18,433",$0,"18,000","$18,000","$18,000",,,,,1
"Total General & Administration",Sep,Quarter3,"Outside Services","Operating Expenses",2016,"33,555","$33,555","$33,555",$0,"45,000","$45,000","$45,000",,,,,1
"Total General & Administration",Sep,Quarter3,"Repairs & Maintenance Equipment","Operating Expenses",2016,"3,393","$3,393","$3,393",$0,"1,250","$1,250","$1,250",,,,,1
"Total General & Administration",Sep,Quarter3,"Software Support","Operating Expenses",2016,"42,008","$42,008","$42,008",$0,"29,000","$29,000","$29,000",,,,,1
"Total General & Administration",Sep,Quarter3,"Training and Development","Operating Expenses",2016,"4,805","$4,805","$4,805",$0,0,$0,$0,,,,,1
"Total Labor",Sep,Quarter3,Bonus,"Operating Expenses",2016,"47,247","$47,247","$47,247",$0,"15,000","$15,000","$15,000",,,,,1
"Total Labor",Sep,Quarter3,Commissions,"Operating Expenses",2016,"1,66,127","$166,127","$166,127",$0,"75,968","$75,968","$75,968",,,,,1
"Total Labor",Sep,Quarter3,"Contract & Temporary Labor","Operating Expenses",2016,"63,244","$63,244","$63,244",0,"40,000","$40,000","$40,000",,,,,1
"Total Labor",Sep,Quarter3,"Employee Benefits","Operating Expenses",2016,"90,885","$90,885","$90,885",0,"1,15,000","$115,000","$115,000",,,,,1
"Total Labor",Sep,Quarter3,"Payroll Tax","Operating Expenses",2016,"63,727","$63,727","$63,727",0,"52,400","$52,400","$52,400",,,,,1
"Total Labor",Sep,Quarter3,"Salaries & Wages","Operating Expenses",2016,"7,79,390","$779,390","$779,390",0,"7,05,023","$705,023","$705,023",,,,,1
"Total Occupancy Cost",Sep,Quarter3,"Building Operating Costs","Operating Expenses",2016,"21,598","$21,598","$21,598",0,"25,699","$25,699","$25,699",,,,,1
"Total Occupancy Cost",Sep,Quarter3,"Rent/Fixed Building Costs","Operating Expenses",2016,"32,886","$32,886","$32,886",0,"28,000","$28,000","$28,000",,,,,1
"Total Travel/M&E",Sep,Quarter3,"Meals & Entertainment","Operating Expenses",2016,"48,291","$48,291","$48,291",0,"18,000","$18,000","$18,000",,,,,1
"Total Travel/M&E",Sep,Quarter3,Travel,"Operating Expenses",2016,"88,705","$88,705","$88,705",0,"50,000","$50,000","$50,000",,,,,1
"Operating Income",Aug,Quarter3,,"Operating Income",2016,"7,25,959","$725,959","$725,959",0,"2,41,358","$241,358","$241,358",,,,,1
"Operating Income",Jul,Quarter3,,"Operating Income",2016,"3,85,182","$385,182","$385,182",0,"1,30,732","$130,732","$130,732",,,,,1
"Operating Income",Sep,Quarter3,,"Operating Income",2016,"4,69,723","$469,723","$469,723",0,"3,06,938","$306,938","$306,938",,,,,1
"Total Interest",Aug,Quarter3,,"Other Expenses",2016,"19,960","$19,960","$19,960",0,"25,000","$25,000","$25,000",,,,,1
"Total Taxes",Aug,Quarter3,,"Other Expenses",2016,"1,69,400","$169,400","$169,400",0,"77,952","$77,952","$77,952",,,,,1
"Unusual Expense/Gain",Aug,Quarter3,,"Other Expenses",2016,"-66,886","-$66,886","-$66,886",0,"6,500","$6,500","$6,500",,,,,1
"Total Interest",Jul,Quarter3,,"Other Expenses",2016,"21,156","$21,156","$21,156",0,"25,000","$25,000","$25,000",,,,,1
"Total Taxes",Jul,Quarter3,,"Other Expenses",2016,"2,54,000","$254,000","$254,000",0,"39,149","$39,149","$39,149",,,,,1
"Unusual Expense/Gain",Jul,Quarter3,,"Other Expenses",2016,"-11,161","-$11,161","-$11,161",0,"10,000","$10,000","$10,000",,,,,1
"Total Interest",Sep,Quarter3,,"Other Expenses",2016,"22,590","$22,590","$22,590",0,"25,000","$25,000","$25,000",,,,,1
"Total Taxes",Sep,Quarter3,,"Other Expenses",2016,"51,800","$51,800","$51,800",0,"1,00,249","$100,249","$100,249",,,,,1
"Unusual Expense/Gain",Sep,Quarter3,,"Other Expenses",2016,"-6,491","-$6,491","-$6,491",0,"6,500","$6,500","$6,500",,,,,1
"Other Revenue",Aug,Quarter3,,Revenue,2016,"-1,34,228","-$134,228","-$134,228",0,0,$0,$0,,,"-1,34,228",0,1
"Transportation - Domestic",Aug,Quarter3,,Revenue,2016,"52,66,059","$5,266,059","$5,266,059",0,"43,23,625","$4,323,625","$4,323,625",,,"52,66,059","43,23,625",1
"Transportation - International",Aug,Quarter3,,Revenue,2016,"24,57,269","$2,457,269","$2,457,269",0,"13,75,000","$1,375,000","$1,375,000",,,"24,57,269","13,75,000",1
Warehouse,Aug,Quarter3,,Revenue,2016,"4,33,231","$433,231","$433,231",0,"3,15,000","$315,000","$315,000",,,"4,33,231","3,15,000",1
"Other Revenue",Jul,Quarter3,,Revenue,2016,"-1,13,295","-$113,295","-$113,295",0,0,$0,$0,,,"-1,13,295",0,1
"Transportation - Domestic",Jul,Quarter3,,Revenue,2016,"41,75,739","$4,175,739","$4,175,739",0,"38,30,625","$3,830,625","$3,830,625",,,"41,75,739","38,30,625",1
"Transportation - International",Jul,Quarter3,,Revenue,2016,"21,33,371","$2,133,371","$2,133,371",0,"14,00,000","$1,400,000","$1,400,000",,,"21,33,371","14,00,000",1
Warehouse,Jul,Quarter3,,Revenue,2016,"4,49,481","$449,481","$449,481",0,"3,15,000","$315,000","$315,000",,,"4,49,481","3,15,000",1
"Other Revenue",Sep,Quarter3,,Revenue,2016,"-2,15,593","-$215,593","-$215,593",0,0,$0,$0,,,"-2,15,593",0,1
"Transportation - Domestic",Sep,Quarter3,,Revenue,2016,"53,91,107","$5,391,107","$5,391,107",0,"46,15,625","$4,615,625","$4,615,625",,,"53,91,107","46,15,625",1
"Transportation - International",Sep,Quarter3,,Revenue,2016,"23,66,104","$2,366,104","$2,366,104",0,"14,00,000","$1,400,000","$1,400,000",,,"23,66,104","14,00,000",1
Warehouse,Sep,Quarter3,,Revenue,2016,"4,91,385","$491,385","$491,385",0,"3,15,000","$315,000","$315,000",,,"4,91,385","3,15,000",1
"Claims COGS",Dec,Quarter4,,"Cost of Sales",2016,"16,164","$16,164","$16,164",0,"9,500","$9,500","$9,500",,,,,1
Fulfillment,Dec,Quarter4,,"Cost of Sales",2016,0,$0,$0,0,0,$0,$0,,,,,1
"PDG Diesel",Dec,Quarter4,,"Cost of Sales",2016,0,$0,$0,0,0,$0,$0,,,,,1
"Transportation - Domestic",Dec,Quarter4,,"Cost of Sales",2016,"28,30,508","$2,830,508","$2,830,508",0,"30,00,050","$3,000,050","$3,000,050",,,,,1
"Transportation - International",Dec,Quarter4,,"Cost of Sales",2016,"21,74,667","$2,174,667","$2,174,667",0,"12,40,500","$1,240,500","$1,240,500",,,,,1
Warehouse,Dec,Quarter4,,"Cost of Sales",2016,"3,15,370","$315,370","$315,370",0,"1,73,250","$173,250","$173,250",,,,,1
"Warehouse Allocation",Dec,Quarter4,,"Cost of Sales",2016,0,$0,$0,0,0,$0,$0,,,,,1
"Claims COGS",Nov,Quarter4,,"Cost of Sales",2016,"44,105","$44,105","$44,105",0,"9,500","$9,500","$9,500",,,,,1
Fulfillment,Nov,Quarter4,,"Cost of Sales",2016,0,$0,$0,0,0,$0,$0,,,,,1
"PDG Diesel",Nov,Quarter4,,"Cost of Sales",2016,0,$0,$0,0,0,$0,$0,,,,,1
"Transportation - Domestic",Nov,Quarter4,,"Cost of Sales",2016,"39,35,123","$3,935,123","$3,935,123",0,"33,23,128","$3,323,128","$3,323,128",,,,,1
"Transportation - International",Nov,Quarter4,,"Cost of Sales",2016,"19,08,440","$1,908,440","$1,908,440",0,"11,57,800","$1,157,800","$1,157,800",,,,,1
Warehouse,Nov,Quarter4,,"Cost of Sales",2016,"2,89,355","$289,355","$289,355",0,"1,73,250","$173,250","$173,250",,,,,1
"Warehouse Allocation",Nov,Quarter4,,"Cost of Sales",2016,0,$0,$0,0,0,$0,$0,,,,,1
"Claims COGS",Oct,Quarter4,,"Cost of Sales",2016,"1,13,321","$113,321","$113,321",0,"9,500","$9,500","$9,500",,,,,1
Fulfillment,Oct,Quarter4,,"Cost of Sales",2016,0,$0,$0,0,0,$0,$0,,,,,1
"PDG Diesel",Oct,Quarter4,,"Cost of Sales",2016,0,$0,$0,0,0,$0,$0,,,,,1
"Transportation - Domestic",Oct,Quarter4,,"Cost of Sales",2016,"38,64,058","$3,864,058","$3,864,058",0,"34,15,203","$3,415,203","$3,415,203",,,,,1
"Transportation - International",Oct,Quarter4,,"Cost of Sales",2016,"16,60,633","$1,660,633","$1,660,633",0,"11,57,800","$1,157,800","$1,157,800",,,,,1
Warehouse,Oct,Quarter4,,"Cost of Sales",2016,"2,71,848","$271,848","$271,848",0,"1,73,250","$173,250","$173,250",,,,,1
"Warehouse Allocation",Oct,Quarter4,,"Cost of Sales",2016,0,$0,$0,0,0,$0,$0,,,,,1
EBITDA,Dec,Quarter4,,EBITDA,2016,0,$0,$0,0,"1,39,758","$139,758","$139,758",,,,,1
EBITDA,Nov,Quarter4,,EBITDA,2016,"1,55,239","$155,239","$155,239",0,"3,31,168","$331,168","$331,168",,,,,1
EBITDA,Oct,Quarter4,,EBITDA,2016,"2,39,763","$239,763","$239,763",0,"3,64,468","$364,468","$364,468",,,,,1
"Gross Profit",Dec,Quarter4,,"Gross Profit",2016,"15,29,700","$1,529,700","$1,529,700",0,"15,29,700","$1,529,700","$1,529,700","15,29,700","15,29,700",,,1
"Gross Profit",Nov,Quarter4,,"Gross Profit",2016,"16,48,982","$1,648,982","$1,648,982",0,"16,34,947","$1,634,947","$1,634,947","16,48,982","16,34,947",,,1
"Gross Profit",Oct,Quarter4,,"Gross Profit",2016,"19,32,710","$1,932,710","$1,932,710",0,"16,69,872","$1,669,872","$1,669,872","19,32,710","16,69,872",,,1
"Net Income",Dec,Quarter4,,"Net Income",2016,0,$0,$0,0,"46,285","$46,285","$46,285",,,,,1
"Net Income",Nov,Quarter4,,"Net Income",2016,"72,781","$72,781","$72,781",0,"1,74,925","$174,925","$174,925",,,,,1
"Net Income",Oct,Quarter4,,"Net Income",2016,"1,41,708","$141,708","$141,708",0,"1,96,903","$196,903","$196,903",,,,,1
"Total Depreciation",Dec,Quarter4,"Total Depreciation","Operating Expenses",2016,"24,630","$24,630","$24,630",0,"24,630","$24,630","$24,630",,,,,1
"Total General & Administration",Dec,Quarter4,"Advertising & Promotion","Operating Expenses",2016,0,$0,$0,0,0,$0,$0,,,,,1
"Total General & Administration",Dec,Quarter4,"Bad Debt","Operating Expenses",2016,0,$0,$0,0,0,$0,$0,,,,,1
"Total General & Administration",Dec,Quarter4,"Charitable Contributions","Operating Expenses",2016,0,$0,$0,0,0,$0,$0,,,,,1
"Total General & Administration",Dec,Quarter4,Communication,"Operating Expenses",2016,"35,000","$35,000","$35,000",0,"35,000","$35,000","$35,000",,,,,1
"Total General & Administration",Dec,Quarter4,"Dues, Licenses, & Fees","Operating Expenses",2016,"29,500","$29,500","$29,500",0,"29,500","$29,500","$29,500",,,,,1
"Total General & Administration",Dec,Quarter4,"Equipment Rental","Operating Expenses",2016,"3,000","$3,000","$3,000",0,"3,000","$3,000","$3,000",,,,,1
"Total General & Administration",Dec,Quarter4,"Gains and Losses","Operating Expenses",2016,0,$0,$0,0,0,$0,$0,,,,,1
"Total General & Administration",Dec,Quarter4,Insurance,"Operating Expenses",2016,"17,500","$17,500","$17,500",0,"17,500","$17,500","$17,500",,,,,1
"Total General & Administration",Dec,Quarter4,"Leased Equipment","Operating Expenses",2016,"8,850","$8,850","$8,850",0,"8,850","$8,850","$8,850",,,,,1
"Total General & Administration",Dec,Quarter4,"Legal Settlement","Operating Expenses",2016,0,$0,$0,0,0,$0,$0,,,,,1
"Total General & Administration",Dec,Quarter4,"Office Expenses/Supplies","Operating Expenses",2016,"18,000","$18,000","$18,000",0,"18,000","$18,000","$18,000",,,,,1
"Total General & Administration",Dec,Quarter4,"Outside Services","Operating Expenses",2016,"45,000","$45,000","$45,000",0,"45,000","$45,000","$45,000",,,,,1
"Total General & Administration",Dec,Quarter4,"Repairs & Maintenance Equipment","Operating Expenses",2016,"1,250","$1,250","$1,250",0,"1,250","$1,250","$1,250",,,,,1
"Total General & Administration",Dec,Quarter4,"Software Support","Operating Expenses",2016,"29,000","$29,000","$29,000",0,"29,000","$29,000","$29,000",,,,,1
"Total General & Administration",Dec,Quarter4,"Training and Development","Operating Expenses",2016,0,$0,$0,0,0,$0,$0,,,,,1
"Total Labor",Dec,Quarter4,Bonus,"Operating Expenses",2016,"1,15,000","$115,000","$115,000",0,"1,15,000","$115,000","$115,000",,,,,1
"Total Labor",Dec,Quarter4,Commissions,"Operating Expenses",2016,"71,436","$71,436","$71,436",0,"71,436","$71,436","$71,436",,,,,1
"Total Labor",Dec,Quarter4,"Contract & Temporary Labor","Operating Expenses",2016,"40,000","$40,000","$40,000",0,"40,000","$40,000","$40,000",,,,,1
"Total Labor",Dec,Quarter4,"Employee Benefits","Operating Expenses",2016,"1,15,000","$115,000","$115,000",0,"1,15,000","$115,000","$115,000",,,,,1
"Total Labor",Dec,Quarter4,"Payroll Tax","Operating Expenses",2016,"58,684","$58,684","$58,684",0,"58,684","$58,684","$58,684",,,,,1
"Total Labor",Dec,Quarter4,"Salaries & Wages","Operating Expenses",2016,"7,05,023","$705,023","$705,023",0,"7,05,023","$705,023","$705,023",,,,,1
"Total Occupancy Cost",Dec,Quarter4,"Building Operating Costs","Operating Expenses",2016,"25,699","$25,699","$25,699",0,"25,699","$25,699","$25,699",,,,,1
"Total Occupancy Cost",Dec,Quarter4,"Rent/Fixed Building Costs","Operating Expenses",2016,"28,000","$28,000","$28,000",0,"28,000","$28,000","$28,000",,,,,1
"Total Travel/M&E",Dec,Quarter4,"Meals & Entertainment","Operating Expenses",2016,"12,000","$12,000","$12,000",0,"12,000","$12,000","$12,000",,,,,1
"Total Travel/M&E",Dec,Quarter4,Travel,"Operating Expenses",2016,"32,000","$32,000","$32,000",0,"32,000","$32,000","$32,000",,,,,1
"Total Depreciation",Nov,Quarter4,"Total Depreciation","Operating Expenses",2016,"62,631","$62,631","$62,631",0,"24,630","$24,630","$24,630",,,,,1
"Total General & Administration",Nov,Quarter4,"Advertising & Promotion","Operating Expenses",2016,"3,464","$3,464","$3,464",0,0,$0,$0,,,,,1
"Total General & Administration",Nov,Quarter4,"Bad Debt","Operating Expenses",2016,671,$671,$671,0,0,$0,$0,,,,,1
"Total General & Administration",Nov,Quarter4,"Charitable Contributions","Operating Expenses",2016,0,$0,$0,0,0,$0,$0,,,,,1
"Total General & Administration",Nov,Quarter4,Communication,"Operating Expenses",2016,"36,916","$36,916","$36,916",0,"35,000","$35,000","$35,000",,,,,1
"Total General & Administration",Nov,Quarter4,"Dues, Licenses, & Fees","Operating Expenses",2016,"24,211","$24,211","$24,211",0,"29,500","$29,500","$29,500",,,,,1
"Total General & Administration",Nov,Quarter4,"Equipment Rental","Operating Expenses",2016,605,$605,$605,0,"3,000","$3,000","$3,000",,,,,1
"Total General & Administration",Nov,Quarter4,"Gains and Losses","Operating Expenses",2016,"1,655","$1,655","$1,655",0,0,$0,$0,,,,,1
"Total General & Administration",Nov,Quarter4,Insurance,"Operating Expenses",2016,"13,339","$13,339","$13,339",0,"17,500","$17,500","$17,500",,,,,1
"Total General & Administration",Nov,Quarter4,"Leased Equipment","Operating Expenses",2016,"12,198","$12,198","$12,198",0,"8,850","$8,850","$8,850",,,,,1
"Total General & Administration",Nov,Quarter4,"Legal Settlement","Operating Expenses",2016,0,$0,$0,0,0,$0,$0,,,,,1
"Total General & Administration",Nov,Quarter4,"Office Expenses/Supplies","Operating Expenses",2016,"30,021","$30,021","$30,021",0,"18,000","$18,000","$18,000",,,,,1
"Total General & Administration",Nov,Quarter4,"Outside Services","Operating Expenses",2016,"35,740","$35,740","$35,740",0,"45,000","$45,000","$45,000",,,,,1
"Total General & Administration",Nov,Quarter4,"Repairs & Maintenance Equipment","Operating Expenses",2016,"1,477","$1,477","$1,477",0,"1,250","$1,250","$1,250",,,,,1
"Total General & Administration",Nov,Quarter4,"Software Support","Operating Expenses",2016,"14,948","$14,948","$14,948",0,"29,000","$29,000","$29,000",,,,,1
"Total General & Administration",Nov,Quarter4,"Training and Development","Operating Expenses",2016,"11,522","$11,522","$11,522",0,0,$0,$0,,,,,1
"Total Labor",Nov,Quarter4,Bonus,"Operating Expenses",2016,"59,592","$59,592","$59,592",0,"15,000","$15,000","$15,000",,,,,1
"Total Labor",Nov,Quarter4,Commissions,"Operating Expenses",2016,"72,949","$72,949","$72,949",0,"75,584","$75,584","$75,584",,,,,1
"Total Labor",Nov,Quarter4,"Contract & Temporary Labor","Operating Expenses",2016,"80,264","$80,264","$80,264",0,"40,000","$40,000","$40,000",,,,,1
"Total Labor",Nov,Quarter4,"Employee Benefits","Operating Expenses",2016,"91,649","$91,649","$91,649",0,"1,15,000","$115,000","$115,000",,,,,1
"Total Labor",Nov,Quarter4,"Payroll Tax","Operating Expenses",2016,"65,634","$65,634","$65,634",0,"52,374","$52,374","$52,374",,,,,1
"Total Labor",Nov,Quarter4,"Salaries & Wages","Operating Expenses",2016,"8,17,849","$817,849","$817,849",0,"7,05,023","$705,023","$705,023",,,,,1
"Total Occupancy Cost",Nov,Quarter4,"Building Operating Costs","Operating Expenses",2016,"31,389","$31,389","$31,389",0,"25,699","$25,699","$25,699",,,,,1
"Total Occupancy Cost",Nov,Quarter4,"Rent/Fixed Building Costs","Operating Expenses",2016,"46,101","$46,101","$46,101",0,"28,000","$28,000","$28,000",,,,,1
"Total Travel/M&E",Nov,Quarter4,"Meals & Entertainment","Operating Expenses",2016,"19,308","$19,308","$19,308",0,"18,000","$18,000","$18,000",,,,,1
"Total Travel/M&E",Nov,Quarter4,Travel,"Operating Expenses",2016,"22,242","$22,242","$22,242",0,"42,000","$42,000","$42,000",,,,,1
"Total Depreciation",Oct,Quarter4,"Total Depreciation","Operating Expenses",2016,"30,156","$30,156","$30,156",0,"24,630","$24,630","$24,630",,,,,1
"Total General & Administration",Oct,Quarter4,"Advertising & Promotion","Operating Expenses",2016,0,$0,$0,0,0,$0,$0,,,,,1
"Total General & Administration",Oct,Quarter4,"Bad Debt","Operating Expenses",2016,"26,797","$26,797","$26,797",0,0,$0,$0,,,,,1
"Total General & Administration",Oct,Quarter4,"Charitable Contributions","Operating Expenses",2016,"1,000","$1,000","$1,000",0,0,$0,$0,,,,,1
"Total General & Administration",Oct,Quarter4,Communication,"Operating Expenses",2016,"35,029","$35,029","$35,029",0,"35,000","$35,000","$35,000",,,,,1
"Total General & Administration",Oct,Quarter4,"Dues, Licenses, & Fees","Operating Expenses",2016,"23,380","$23,380","$23,380",0,"29,500","$29,500","$29,500",,,,,1
"Total General & Administration",Oct,Quarter4,"Equipment Rental","Operating Expenses",2016,628,$628,$628,0,"3,000","$3,000","$3,000",,,,,1
"Total General & Administration",Oct,Quarter4,"Gains and Losses","Operating Expenses",2016,"40,688","$40,688","$40,688",0,0,$0,$0,,,,,1
"Total General & Administration",Oct,Quarter4,Insurance,"Operating Expenses",2016,"12,622","$12,622","$12,622",0,"17,500","$17,500","$17,500",,,,,1
"Total General & Administration",Oct,Quarter4,"Leased Equipment","Operating Expenses",2016,"10,029","$10,029","$10,029",0,"8,850","$8,850","$8,850",,,,,1
"Total General & Administration",Oct,Quarter4,"Legal Settlement","Operating Expenses",2016,0,$0,$0,0,0,$0,$0,,,,,1
"Total General & Administration",Oct,Quarter4,"Office Expenses/Supplies","Operating Expenses",2016,"33,098","$33,098","$33,098",0,"18,000","$18,000","$18,000",,,,,1
"Total General & Administration",Oct,Quarter4,"Outside Services","Operating Expenses",2016,"27,416","$27,416","$27,416",0,"45,000","$45,000","$45,000",,,,,1
"Total General & Administration",Oct,Quarter4,"Repairs & Maintenance Equipment","Operating Expenses",2016,"2,971","$2,971","$2,971",0,"1,250","$1,250","$1,250",,,,,1
"Total General & Administration",Oct,Quarter4,"Software Support","Operating Expenses",2016,"59,432","$59,432","$59,432",0,"29,000","$29,000","$29,000",,,,,1
"Total General & Administration",Oct,Quarter4,"Training and Development","Operating Expenses",2016,"18,306","$18,306","$18,306",0,0,$0,$0,,,,,1
"Total Labor",Oct,Quarter4,Bonus,"Operating Expenses",2016,"45,581","$45,581","$45,581",0,"15,000","$15,000","$15,000",,,,,1
"Total Labor",Oct,Quarter4,Commissions,"Operating Expenses",2016,"1,21,591","$121,591","$121,591",0,"77,108","$77,108","$77,108",,,,,1
"Total Labor",Oct,Quarter4,"Contract & Temporary Labor","Operating Expenses",2016,"58,666","$58,666","$58,666",0,"40,000","$40,000","$40,000",,,,,1
"Total Labor",Oct,Quarter4,"Employee Benefits","Operating Expenses",2016,"1,08,899","$108,899","$108,899",0,"1,15,000","$115,000","$115,000",,,,,1
"Total Labor",Oct,Quarter4,"Payroll Tax","Operating Expenses",2016,"68,908","$68,908","$68,908",0,"52,475","$52,475","$52,475",,,,,1
"Total Labor",Oct,Quarter4,"Salaries & Wages","Operating Expenses",2016,"8,29,619","$829,619","$829,619",0,"7,05,023","$705,023","$705,023",,,,,1
"Total Occupancy Cost",Oct,Quarter4,"Building Operating Costs","Operating Expenses",2016,"17,305","$17,305","$17,305",0,"25,699","$25,699","$25,699",,,,,1
"Total Occupancy Cost",Oct,Quarter4,"Rent/Fixed Building Costs","Operating Expenses",2016,"69,196","$69,196","$69,196",0,"28,000","$28,000","$28,000",,,,,1
"Total Travel/M&E",Oct,Quarter4,"Meals & Entertainment","Operating Expenses",2016,"12,349","$12,349","$12,349",0,"15,000","$15,000","$15,000",,,,,1
"Total Travel/M&E",Oct,Quarter4,Travel,"Operating Expenses",2016,"69,437","$69,437","$69,437",0,"45,000","$45,000","$45,000",,,,,1
"Operating Income",Dec,Quarter4,,"Operating Income",2016,,,,0,"1,15,128","$115,128","$115,128",,,,,1
"Operating Income",Nov,Quarter4,,"Operating Income",2016,"92,607","$92,607","$92,607",0,"3,06,538","$306,538","$306,538",,,,,1
"Operating Income",Oct,Quarter4,,"Operating Income",2016,"2,09,607","$209,607","$209,607",0,"3,39,838","$339,838","$339,838",,,,,1
"Total Interest",Dec,Quarter4,,"Other Expenses",2016,,,,0,"25,000","$25,000","$25,000",,,,,1
"Total Taxes",Dec,Quarter4,,"Other Expenses",2016,0,$0,$0,0,"33,844","$33,844","$33,844",,,,,1
"Unusual Expense/Gain",Dec,Quarter4,,"Other Expenses",2016,,,,0,"10,000","$10,000","$10,000",,,,,1
"Total Interest",Nov,Quarter4,,"Other Expenses",2016,,,,0,"25,000","$25,000","$25,000",,,,,1
"Total Taxes",Nov,Quarter4,,"Other Expenses",2016,,,,0,"1,00,113","$100,113","$100,113",,,,,1
"Unusual Expense/Gain",Nov,Quarter4,,"Other Expenses",2016,,,,0,"6,500","$6,500","$6,500",,,,,1
"Total Interest",Oct,Quarter4,,"Other Expenses",2016,"20,757","$20,757","$20,757",0,"25,000","$25,000","$25,000",,,,,1
"Total Taxes",Oct,Quarter4,,"Other Expenses",2016,,,,0,"1,11,435","$111,435","$111,435",,,,,1
"Unusual Expense/Gain",Oct,Quarter4,,"Other Expenses",2016,-930,-$930,-$930,0,"6,500","$6,500","$6,500",,,,,1
"Other Revenue",Dec,Quarter4,,Revenue,2016,0,$0,$0,0,0,$0,$0,,,0,0,1
"Transportation - Domestic",Dec,Quarter4,,Revenue,2016,"41,38,000","$4,138,000","$4,138,000",0,"41,38,000","$4,138,000","$4,138,000",,,"41,38,000","41,38,000",1
"Transportation - International",Dec,Quarter4,,Revenue,2016,"15,00,000","$1,500,000","$1,500,000",0,"15,00,000","$1,500,000","$1,500,000",,,"15,00,000","15,00,000",1
Warehouse,Dec,Quarter4,,Revenue,2016,"3,15,000","$315,000","$315,000",0,"3,15,000","$315,000","$315,000",,,"3,15,000","3,15,000",1
"Other Revenue",Nov,Quarter4,,Revenue,2016,"-1,14,857","-$114,857","-$114,857",0,0,$0,$0,,,"-1,14,857",0,1
"Transportation - Domestic",Nov,Quarter4,,Revenue,2016,"39,72,566","$3,972,566","$3,972,566",0,"45,83,625","$4,583,625","$4,583,625",,,"39,72,566","45,83,625",1
"Transportation - International",Nov,Quarter4,,Revenue,2016,"26,85,964","$2,685,964","$2,685,964",0,"14,00,000","$1,400,000","$1,400,000",,,"26,85,964","14,00,000",1
Warehouse,Nov,Quarter4,,Revenue,2016,"4,42,018","$442,018","$442,018",0,"3,15,000","$315,000","$315,000",,,"4,42,018","3,15,000",1
"Other Revenue",Oct,Quarter4,,Revenue,2016,"-1,20,821","-$120,821","-$120,821",0,0,$0,$0,,,"-1,20,821",0,1
"Transportation - Domestic",Oct,Quarter4,,Revenue,2016,"54,01,701","$5,401,701","$5,401,701",0,"47,10,625","$4,710,625","$4,710,625",,,"54,01,701","47,10,625",1
"Transportation - International",Oct,Quarter4,,Revenue,2016,"22,91,965","$2,291,965","$2,291,965",0,"14,00,000","$1,400,000","$1,400,000",,,"22,91,965","14,00,000",1
Warehouse,Oct,Quarter4,,Revenue,2016,"5,36,889","$536,889","$536,889",0,"3,15,000","$315,000","$315,000",,,"5,36,889","3,15,000",1
